Country,Date,"Cumulative no. of confirmed, probable and suspected cases","Cumulative no. of confirmed, probable and suspected deaths"
Spain,3/27/2015,1,0
Mali,3/27/2015,8,6
Nigeria,3/27/2015,20,8
Senegal,3/27/2015,1,0
United Kingdom,3/27/2015,1,0
United States of America,3/27/2015,4,1
Guinea,3/27/2015,3466,2276
Sierra Leone,3/27/2015,11889,3773
Spain,4/7/2015,1,0
Mali,4/7/2015,8,6
Senegal,4/7/2015,1,0
Nigeria,4/7/2015,20,8
Guinea,4/7/2015,3515,2333
United Kingdom,4/7/2015,1,0
Liberia,4/7/2015,9862,4408
United States of America,4/7/2015,4,1
Sierra Leone,4/7/2015,12139,3832
Liberia,4/9/2015,9862,4408
United Kingdom,4/9/2015,1,0
United States of America,4/9/2015,4,1
Mali,4/9/2015,8,6
Senegal,4/9/2015,1,0
Spain,4/9/2015,1,0
Nigeria,4/9/2015,20,8
Guinea,4/9/2015,3515,2335
Sierra Leone,4/9/2015,12155,3841
Sierra Leone,4/13/2015,12188,3854
Senegal,4/13/2015,1,0
Liberia,4/13/2015,9862,4408
Mali,4/13/2015,8,6
United States of America,4/13/2015,4,1
Nigeria,4/13/2015,20,8
Spain,4/13/2015,1,0
United Kingdom,4/13/2015,1,0
Guinea,4/13/2015,3541,2342
Sierra Leone,4/14/2015,12201,3857
United Kingdom,4/14/2015,1,0
United States of America,4/14/2015,4,1
Nigeria,4/14/2015,20,8
Mali,4/14/2015,8,6
Guinea,4/14/2015,3548,2346
Liberia,4/14/2015,9862,4408
Senegal,4/14/2015,1,0
Spain,4/14/2015,1,0
Mali,4/15/2015,8,6
Sierra Leone,4/15/2015,12201,3857
Liberia,4/15/2015,10042,4486
Senegal,4/15/2015,1,0
Guinea,4/15/2015,3548,2346
United States of America,4/15/2015,4,1
Spain,4/15/2015,1,0
Nigeria,4/15/2015,20,8
United Kingdom,4/15/2015,1,0
